	0	1	2	3	4	5	6	7	8	9
GSM156172.CEL	6.9998	0.94174	0	0.23216	0.80314	0	3.9747	0.090508	3.7786	0
Fos3_aerobic_wdh_Pae_G1a.CEL	0	0	2.4577	0	1.1487	0	4.0675	0	7.0022	0
144_2014wt_anaero.CEL	1.07	1.4695	0.047504	8.3615	0	0	0	0	7.125	0
GSM1206645_WT-CHO-1.CEL	0	0	0	0	1.1624	0	0	0	8.8131	0
GSM1206647_WT-DTC-1.CEL	0	0	0	0	1.3744	0	0	0	8.5493	0
GSM1206651_WT-PRC-1.CEL	0	0	0	0	1.4359	0	0	0	8.9683	0
GSM252501.CEL	4.8859	2.4162	1.0563	0.051163	2.091	0	2.6896	0	0.89624	0.2726
GSM1206649_WT-ETC-1.CEL	0	0	0	0	1.3392	0	0	0	8.6092	0
GSM1206646_WT-CHO-2.CEL	0	0	0	0	1.4623	0	0	0	8.7624	0
GSM432865.CEL	5.0263	5.8793	0	5.0524	0	0	0	0	0.052152	0
control3_anaerobic_Pae_G1a.CEL	0	1.5951	5.4988	2.1437	0	0	4.6725	0	7.411	0
GSM1206652_WT-PRC-2.CEL	0	0	0	0	1.1926	0	0	0	9.143	0
GSM1191067_sphR-pyr-2.CEL	0	0	0.070438	0	0.13488	0	0	0	9.2874	0.7615
FT2_anaerobic_Pae_G1a.CEL	0	1.1195	5.6586	2.0286	0	0	4.3104	0	6.7928	0
Tob1_anaerobic_Pae_G1a.CEL	0	0.5386	4.3278	1.5628	0	0	4.1516	0	6.6865	0
GSM1206650_WT-ETC-2.CEL	0	0	0	0	1.5206	0	0	0	8.2076	0
control2aerobic_Pae_G1a.CEL	0	0	3.9214	0	0	1.1136	4.6234	0.20106	7.8625	0
GSM252505.CEL	4.8227	2.2883	1.1018	0	1.7564	0	2.3444	0	0.97517	0.27084
GSM1191066_sphR-pyr-1.CEL	0	0	0.52364	0	0	0	0	0.26378	9.2137	0.40481
GSM1206653_dgcA-CHO-1.CEL	0	0	0	0	1.9686	0	0.077697	0	9.2418	0
GSM1618386_Wound2.CEL	0.091486	0	1.031	0	5.7488	0.61317	2.472	0.058083	0	0.42344
GSM1206654_dgcA-CHO-2.CEL	0	0	0	0	1.6416	0	0	0	9.1316	0
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0	3.4711	0.046576	8.5745	1.8453	0	0	0	8.3556	0
fos1aerobic_Pae_G1a.CEL	0	0	4.8712	0.75863	0	0.40746	4.4725	0.20708	7.2835	0
fos2aerobic_Pae_G1a.CEL	0	0	3.7982	0.23732	0	0.44425	4.4052	0	7.1481	0
GSM1191071_WT-pyr-2.CEL	0	0	0	0	0.065115	0	0	0	9.186	0.5595
0.1_12hr_CSV86(Pae_G1a).CEL	0.68678	0	0	0	8.328	0	4.9428	0	4.0345	0.015874
GSM208611.CEL	0.014734	0.2366	8.0528	9.6417	0	0.62696	0.89034	0.038689	0	0.33086
MSC_02.CEL	4.5142	6.6214	0	4.5916	0	0	0	0.56637	1.8681	0
GSM567680.CEL	0	1.187	0	3.3626	0.96473	0	7.0125	0	2.3473	0
GSM208610.CEL	2.1645	3.4945	7.4039	8.5314	0	0	1.9943	0	0	0.77137
ETJan12B_1378_2012-PAO3wt-aero.CEL	0	3.3496	0.00098807	7.1274	2.9113	0	0.8809	0	7.8235	0
FT1_anaerobic_Pae_G1a.CEL	0	0.87395	5.5219	1.9609	0	0	4.2487	0	6.7481	0
20mM_CF600.CEL	0.054764	0	0	0.086901	8.5612	0	4.9248	0	3.5666	0
control1aerobic_Pae_G1a.CEL	0	0	5.3365	0.90201	0	0.46105	4.4707	0.43925	7.4826	0
Tob2_anaerobic_Pae_G1a.CEL	0	0.90668	5.4653	1.9479	0	0	4.3079	0	7.1026	0
147_2014dR_anaero.CEL	1.6225	1.3353	0.11465	8.4898	0	0	0	0.75187	7.8529	0
ETJan12B_1377_2012-PAO2wt-aero.CEL	0	3.5147	0.23185	8.0169	2.0174	0	0.24245	0	8.1298	0
ETJan12B_1380_2012PAO5dR-aero.CEL	0.06769	3.437	0	9.1802	1.5932	0	0	0	8.3936	0
145_2014dR_anaero.CEL	1.332	1.2598	0.087156	8.3971	0	0	0	0.58876	7.7524	0
GSM1421008_fhpR_NO1.CEL	4.7483	5.8769	0	4.3931	0	0	0	3.0906	0.87113	0.35485
GSM1206644_WT-PYR-2.CEL	0	0	0	0	1.0123	0	0	0	8.9064	0
GSM537321.CEL	0	0.003204	1.1569	2.9167	6.2291	1.8033	0	0.38463	6.3787	0
GSM1662232_WFPA510_1.CEL	0	4.91	0	0	0	3.0474	0	2.3356	2.9635	5.6876
GSM1421009_fhpR_NO2.CEL	4.7966	5.9808	0	4.4395	0	0	0	2.4032	0.8905	0.1548
MSC_08.CEL	3.5927	5.1661	0.47852	3.8571	0	0	0	4.134	2.9963	0
GSM243224.CEL	1.6494	1.8374	3.0281	4.5482	0	0	0	4.0263	1.2595	1.8652
GSM1206648_WT-DTC-2.CEL	0	0	0	0	1.5109	0	0	0	8.7708	0
GSM717424.CEL	0.1102	0	0	0.71692	6.3088	2.1245	2.2657	0.098723	1.3897	0
FT3_anaerobic_Pae_G1a.CEL	0	1.2286	5.9939	2.4942	0	0	4.1832	0	7.1331	0
GSM567681.CEL	0	1.5936	0	4.0869	0.13326	0	6.9736	0	2.9859	0
GSM596626.CEL	1.2373	1.4968	6.2023	0.058282	2.623	0	0	0	4.4193	2.9848
GSM1420993_PAO1_NO2.CEL	4.726	5.6328	0	4.0436	0	0	0	2.7999	0.8187	0.10425
Glu_6Hour_(Pae_G1a).CEL	0.18444	0	0	0	8.1763	0	5.2482	0	3.9822	0
GSM252496.CEL	4.9511	2.309	0.95997	0.083419	2.8265	0	3.0089	0	0.91887	0.14594
GSM432864.CEL	4.9297	5.9113	0	4.8997	0	0	0	0.11709	0.041156	0.32706
GSM208614.CEL	0	0	7.6251	8.4096	0	0.10381	0.23454	1.7919	0.11117	1.1441
fos3_anaerobic_Pae_G1a.CEL	0	0.84517	5.0839	1.6739	0	0	4.3576	0	7.2117	0
GSM1191069_sphR-surf-2.CEL	0	0	0.14379	0	0	0	0	0.87979	8.5107	0.44843
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	8.6835	0	0	0	0	5.8783	1.0157	0	3.5863	0
