	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
GSM199985.CEL	1.1844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0498	3.4979	0	0.047274	0	1.1561	0	0	0	0	0.061038	0	0	0	0	0	0	0	0	0	2.0716	0	1.55	0	1.8502	0	0	0	0	0	0	0	3.6383	5.0704	0	0	1.5444	1.9555	0.013531	3.7657	0	0	0	0	0.49208	2.8357	1.0079	0	0	1.1656	2.3586	0	0	2.5065	0	0.8053	1.2673	0.40415	0	0	0	0	0	1.074	0.63422	0	0	3.0895	0	0.36586	0	0	0	0.59284	0	0	0	1.6147	0.33446	2.3392	2.0858	0.57559	2.1972	0	0	1.7041	4.0964	0	4.7058	0	0	0	0	4.0351	4.5922	1.3811	5.6915	0.37329	0	2.9398	4.7661	2.3045	0	0.1366	0	0.5559	0	0	0.24834	0	0	0.037778	0	0	0.27536	0	1.0713	5.6557	0	0	2.0373	0	0	1.7638	0.39859	0	0	0	0	2.0942	0.89358	0.30656	0	1.5171	4.5874	0	0.30909	0	1.4768	0	3.0164	0	0	2.2262	0	0	0	0	0	0	0.76397	0	0	0	2.283	0	0	0	0.29368	0	0	1.8987	0	0	0	0	0	0.44232	2.0549	0.57328	0	0	2.2033	0	6.3432	3.5997	0	0.69999	0	0	0.99211	0.88967	0.35436	0	0	1.4795	1.1481	0	0.42113	0	0.1423	0	0	2.0837	0	6.0057	0	0	0	0	3.3701	0.062257	0	0	0	0	0	1.3895	0.12511	0.60496	0	0.15081	1.1884	0	0	0	5.5171	0	0	2.7573	5.3288	0	0	0	0	0	5.1327	2.5048	1.1793	0	1.2954	0	0	0	0	2.2483	4.0327	2.8842	0	0.2006	0.83979	0	2.9871	1.0902	0	0	0	2.2146	0.19644	2.8328	3.3908	0	0	3.8278	0	0.86603	0	0.91079	0	0.03667	2.728	0	0	0	2.7264	0	4.3109	0	0.6934	0.1238	0	0	0.043823	4.1448	1.8388	0	0	0	2.674	0	0	0	0.11779
GSM2055818_7629_B-_20130705.CEL	0.064067	1.482	0	0.90246	1.4224	0	0	0.16297	0	0.17352	0	0	0	1.3667	0	0	0	1.0664	4.6622	0.99286	0	0	2.3309	0	1.0578	0	3.7741	0.040794	0	0	0	0	1.1322	0	0	0.26325	2.2946	0	0	0.29431	0	0	0.78933	0	1.7568	4.2061	3.7857	0.15212	0.60558	0.054723	1.5217	0.35894	1.5817	0.88799	0	2.0908	3.4416	0	0.13811	0	2.2915	0	1.0581	3.7154	3.4175	0	0	0	0.9023	0.24647	1.3337	0	0	0.53199	1.0486	0	0.12744	0	0.012353	1.7918	0	0.7756	0.36485	2.8652	2.0279	0	0.77051	1.3602	0	0.3678	0	0	1.0573	0	0	0	1.4983	0.039634	1.8069	1.1083	0.44591	2.4792	1.0798	2.4899	0	1.4242	2.634	0.11035	0	0.13616	4.6635	3.8259	0.082429	0	0	0.75215	1.1022	0	0	0	0	0	0	1.4798	0	0	1.7251	0	0	2.6262	1.206	0.050967	0	0	0	0	0	5.9039	2.6155	0.77879	0	0.86169	0.33665	0	3.2046	0	1.6763	2.3083	0	0.49903	2.0995	4.3337	0.019989	0	1.2443	3.7648	0	0	0	0.22144	0	0	0	0	0	0.34308	0	0.8368	2.6593	0	1.5727	0	1.9062	0	0	2.049	0	0	0	0	3.863	0	0	3.5542	0	1.7778	1.7642	0	0	5.624	1.3664	0.12995	2.0333	2.4483	0.4803	0	0	0.48031	1.3809	0.7887	0	0.31611	0.25537	0	0	1.1168	3.5035	0.24733	0	0	0	1.2294	2.418	0	1.3063	0	0	3.8651	0	3.1785	0	2.3853	0	0	0.28497	0.77788	0.010735	0	0	0.14427	1.5696	0.47811	0	0	0	0	2.0474	2.1881	0.44453	0	0	2.3421	1.7362	0.93488	0.64649	0.23912	1.9076	2.0732	0	0	0	2.0459	4.9153	1.2908	0.25436	0.1896	0	0	0	0	1.6642	0	0	0.68073	0	1.3967	2.4868	2.7091	0	0	0.67991	0	0	0	0.15292	0	0	0	0	0	2.8024	5.4246	0.25743	0.96757	1.4435	3.0165	0	4.1117	0	0	4.7142	1.6297	1.4432	0.091615	0	0.16676	3.1657	0	0	0.42702
GSM900179_F2_Pae_G1a_.CEL	0	0.19105	0.75771	3.6301	0	1.9402	0	0.85899	2.8672	0	5.1293	0.36111	4.2358	0	0	1.5431	0	0	2.0189	2.6395	0.042964	0	0	0	0.17603	0.46223	0	0	0	0	0	1.3285	0	1.5126	0	0	0	0	0	3.9645	0	4.2473	0	0.92917	0	1.1333	0	0.50112	2.3252	0.68756	0.38431	0	0.21417	0	2.6468	2.1388	1.8023	3.9898	0.85673	0	0	2.4095	0	0	3.3303	0	0	4.7901	0	0	0.88928	0	0	1.3233	1.1309	0	0	4.1521	5.009	0	0.69045	4.8436	0.25113	0	0	0	4.6668	0	0.10168	1.5084	0	1.8661	0	0	0	3.2115	0.51434	1.0446	0	0	0	0	0.91693	0	0.29038	0.68103	5.6839	0	0	0	0	0	3.3913	0	0	0	0	0	2.0341	2.3449	0.52181	2.224	2.1794	0	0.55899	1.0121	0	0.47695	1.5301	0	0.29632	0	0	0	0	0	0	4.2053	0	0	0.030978	3.4341	1.6472	2.1078	0	0	0.5717	0.30772	0	0	1.2067	0.24137	0.8618	0	0	0	1.3631	4.135	0	0	0	0.67207	0	0.070695	0.30876	0	1.6937	5.7	0	0.7834	0.093748	0	0	0	0.76907	0	4.0038	0	1.3549	3.4155	0.64952	0	0	0	0	0.73671	0	0	0	0	0	0	0	0	3.3456	0.85456	0	1.8962	0	0	0	5.5832	1.8077	5.7198	2.0065	0.56626	0	3.0894	0	0	4.0361	0.64346	0	0.74274	0	2.2976	0.30928	1.5154	0	0	0	0	2.477	0	0.91202	1.2378	0	0	0.40896	4.0071	1.2819	4.1508	1.3833	0.0065895	0	0	0	0	0	2.6393	0	0	0	0.24076	0	0.93447	1.0541	0	0	0	0	1.9516	0.35194	0.75776	0	2.2455	0	4.1095	1.0111	0.78606	3.5533	0	0	0	0.11516	0	0	2.3728	0.3989	0	0	0.49412	3.1284	0	0	0.96825	3.7528	0	0	0	0.21784	0.15513	0	0	0	1.0976	0	0	3.9261	0	0	0	0	0	0	2.1866	0.27729	0.096116	0	7.8654
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	0	3.0567	0	0	3.7456	0	4.3016	1.3875	2.5596	1.1088	0	0	0	0	4.3638	3.427	1.3715	0.41539	0	0	0	0	0	0	0	2.758	0.67713	3.3563	0	0.97053	0	0	0.71245	0	0	0	0	1.9891	0	2.1434	0	0.47769	2.7151	0	0.018039	1.033	0.31291	0	0.25034	0.91097	0	1.5751	0.68284	0	0.51196	0.4123	2.5866	0	0	0.12094	0	0	0	0	0	0.58684	0	0	1.8106	0	0	1.6681	0	0	0	0.031655	0	1.1103	0.53762	0.22743	0	0.60419	0	0.15475	0	0	0	0	4.0509	0	0	0.5304	0.010754	4.5489	6.207	0	0	0	0.32892	2.2148	0	1.9293	0	0	0	4.799	2.6465	0	0	0	2.7295	0	5.555	0.28058	2.6353	0	0	3.7073	4.1099	0	0	0	0	1.6933	0	2.666	0	0	0.91092	0	0	4.9231	0	0	0	2.2175	0	0	0	0	1.7142	0	0.78501	0.24635	0	0	0	0	1.2771	0	0.79041	0	0	4.0687	0	0	3.2204	2.7481	0	2.5707	0	4.5506	0	0	2.5147	0	4.2605	4.4679	0	1.1903	0	0.73592	0	0	1.3564	2.8237	0	0	2.291	6.1866	0	0	0	0	1.3236	0	4.1112	0	0.21896	0	0.2921	3.1782	0	0	0	0	0	0.20857	0.13976	0	0.45445	0	0	0.35049	1.567	0	0.85333	0	1.184	0.20349	0.408	0	5.2334	0	0	0	0	2.7312	5.2953	0	0	0	2.5816	0.25346	0.9197	0.049094	0.99816	0	0	0.42074	1.0244	0	2.1995	3.1744	0.66775	0.21722	0	1.3729	0	0	0	0	0	0.40473	3.5681	0	0	0	0	4.5577	0	0	0	1.6427	0.75089	0	3.6052	0	3.5245	0	0.19983	0.26712	0	0	0.13989	0	0	0	0	0	0.35165	0	0	0	0.30736	0	2.0696	0	0	2.2104	0.094979	0	0	0	0.42632	2.6599	0	0	0.61244	0	2.5963	0	0	0	1.2559	0	0	0	0	0
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	1.468	0	0	0.26678	0	0.15066	0	0	2.8239	0.62521	0	0.48306	1.2698	0	0	0	0	0.73	2.3246	5.3635	0	0	1.8708	0	2.4792	0	4.2406	0.2506	0	4.4466	0	0.56057	0	0	1.1287	0.099191	0	2.8448	0	0.44913	0	0	0	0.85628	0	1.5333	0.56511	4.0352	2.5421	0	0.24782	0.30323	5.1379	0	0	0.26169	0	1.1783	1.3917	0.55797	5.1937	1.1469	0.13045	2.4394	1.3827	0	1.6652	0	0	0.43593	0	0	0	0	2.4276	0	1.9161	0.078218	0	4.1423	0	3.6669	0	0	0.27847	0	0	0	0.10261	0	1.9212	1.567	3.6388	0	0	1.657	0	0.13042	0.59924	0.046927	0	0	1.582	0	0	0.21243	0	0	0	0	0	0	0.048058	0	0	2.7221	1.507	0	0	1.6268	0	2.012	2.6673	0	0	0	5.3748	0	0	0.2839	0.76218	0	1.3182	0.7855	0	1.0364	2.2365	1.2833	5.5857	1.9485	0	0	1.4129	0.28667	4.5484	1.6222	1.0106	3.83	0.21115	0	3.5935	0.54598	0	0	0	3.3498	0	0	0.34876	1.6463	3.053	0	1.0676	0.77812	0	1.4371	0.17018	0.46436	0	0	2.063	0	2.7993	0.33012	0	0	0	0	0	0.63931	2.6675	0	2.4965	0	2.5349	0.93437	3.3075	0	0	4.3509	0	0	0	2.2824	0.31661	0	0	0	1.6142	0	0	2.9497	0	0	0	2.3282	4.8949	0.26638	0.81944	0	3.8332	0.23757	0.20555	0	2.4736	0	0	4.778	0.062438	0.90388	0	4.458	2.8075	0	0	1.2742	0	0	0	1.3609	0.57845	0	0.65481	0	0.3129	0	0	0	1.2536	0	0	2.1403	3.5195	0	0	1.2103	7.1502	0	0	1.752	0	0	1.5648	0	0.89588	1.7775	0	0	0.089393	0	1.9471	0	0	2.1742	0	0.065083	3.0859	2.2722	0	0.70389	0	1.8936	0	1.9589	0	3.5253	1.2559	0.68269	0	0.47274	0	0	0	1.0245	0.48221	2.5002	0	0.8228	0	0	0.25623	0	5.1965	3.3441	0	0	2.8145	0	4.6486	0
GSM821495.CEL	4.3116	3.8028	0	0	1.8627	2.5108	0.54213	0	2.1073	0	0.057497	0	0	0	1.1526	0	0	0.8554	5.2342	2.3784	3.3746	0	0.84323	0	0	0	0.38922	0	0	0.13756	0	0	0	1.492	0	0	0	3.3025	0.29617	2.3225	0	1.9923	1.1023	3.6423	0	0	0.94514	0.42282	1.1651	4.3442	4.2705	0	0.76294	0	0	0	0	0	0	0	0	1.3516	3.0924	0	0.20991	0	4.4389	0	0	0	1.2105	0	4.3804	0	0.35284	0	1.5074	0	0	3.1847	0	0.509	0	0.52425	0	0	0	0	2.1204	0	4.568	0.79622	0	0.010014	2.3683	0	0	2.8868	0.17431	0	0	4.1305	1.2482	2.3291	0	2.5524	0.33347	0	0	0	0	0.71121	3.8704	1.8063	0.59784	0	1.6905	2.8897	3.0828	0	0	1.5145	0.5568	0	0.75385	0	0	0	0.061376	0	0	0	0	0	3.0151	0	0.95697	0	0	0	3.7241	0.85421	2.0492	0.27069	0	0	1.2088	0	5.625	0	2.4397	0.20214	0	1.8604	0	0	0.59406	4.1552	0	1.3289	0.49666	0	0	0	0	0	0	0.43564	0	0.35805	0	1.2729	0.34492	1.6312	0.58189	0	0	0	1.5931	0	0	0	0.19742	0	0	0.90956	0	0	0	0.18034	0	6.585	0	0	0	0	0	0	0	0.2075	0.39492	0	0	0.38159	0	0	4.8963	0.61073	0	0	1.6168	1.1632	3.0693	0	0	0	0.51072	3.8815	4.6605	0.24985	0	0	0	0.069504	0	0.39302	0	2.6309	0.24182	0	0.19829	0	4.1937	0	0.76195	0	1.1902	4.5769	0.11981	0	0	0	0	0	6.5168	0	0	0.32763	0	0	0	0	0	0	0.31305	0.30662	2.637	5.0617	3.3169	0.76937	0.74493	1.3331	0	0	0	0	1.8363	3.5041	0	0	0	0.51851	1.3519	0	0.052498	0	0	0	0	0.70546	0	1.834	0	0	0	1.9827	0	0	0	0.35174	2.2513	0	0	0	0	0.090246	0	0	0	0
GSM822689_wtBSM_A.CEL	0	0	0	0	2.9184	3.2831	0.7024	0	0.098952	0	0.97933	2.8644	0.94773	0.84193	0	3.1658	0	0.6017	4.4255	2.7665	1.0826	0	0.56192	0	0	0	0	0	0	3.2781	0	0	1.1519	1.409	3.1089	2.2311	0	2.8589	3.9763	3.0725	0.61318	2.1245	0	4.125	0	0	0.50701	2.9806	1.259	0.7618	0.74361	0	0	0	0	3.6696	2.0478	0.12081	1.8051	0	0	2.4361	2.9126	1.8879	1.3956	0	3.9742	0	0	3.3953	0.049263	0	1.2437	0.39252	0.029628	0	0	0.46211	0	2.8257	0	0	0	1.177	4.7795	0	0	0	0.047311	0	1.4939	0	0	0.96477	0	0	0	0	0.35613	0	0	1.6585	3.4396	4.5752	0	0	2.8774	0	0	0	0	2.0278	3.4311	0	1.025	0	4.7893	1.3182	2.5118	0	0	0.45969	0.2945	0	0.52391	0	0.78149	0.82307	0	0	0	0.10481	0	0	2.2375	1.4433	3.5111	0	0	0	0	2.3703	3.1418	0	3.5792	0	2.0259	0.45834	1.8634	0.42289	2.5613	0	0	0.013729	0	2.9381	0	3.2677	0	0.06516	3.5471	1.1204	0	1.0085	3.557	0	3.1528	0.60987	0	0	0.39121	2.0258	0.7391	0	0	0	2.4435	0.15236	1.2574	0	0.23158	0	0	0.22473	0	3.1151	0	0	1.7134	2.3097	0	1.9678	0.27774	0	2.19	0	0	0.41212	0	0	0	2.0637	3.1558	0	0	0	0	0	0	0	0.23348	0	0	0	0	0	0	2.7165	2.1846	0	0	0	0.61007	0	0	0	0	1.5354	2.5185	0	0.53659	0	4.1806	0.66209	0.29592	0	0	0	0	0	0	0	2.1771	0	3.8848	0	0	0.65764	0	2.4553	0	0.65612	2.6764	0.52908	0.71627	0.082122	0	0.87651	1.9106	2.252	0.11376	2.2256	0	0	0.59936	0	2.7625	0	1.6007	0	0.52082	0	0.40573	0.34877	0.14196	0.83452	0	0.7713	0	0	0	0	0	3.7959	0.35954	3.3488	1.8103	0	0	0	0	0.86831	5.5643	3.6943	0	0	0	0	0	0.10031
GSM560759.CEL	4.4192	0	0	0	0	0	0	4.1749	0.048253	0	0	1.8432	3.4981	0	0	0	0	0	0	4.4652	0	0.62462	0	0	0.1402	0	0	0.027746	1.0574	0.8839	0	0.22135	0	0	0	0	0	0	0	0.14648	0	3.2118	0	0	1.3981	0.18345	0.36802	0	0.9241	0	0	0	0	0	3.4705	0	0	0	0	0.81961	0	1.2096	0	0	0	0.70194	0.033469	3.7242	0.24465	0	0	0	0.16298	1.2989	0	0.047303	0	0.79806	0	0	0	0.23547	0.73344	0	0	0	0	0	3.7081	0	0	2.4503	0.70277	0.63006	6.1457	1.2469	0	0	0	0	0	0	0	0	0	3.9759	0	0.012426	0	0	0.19486	0.91819	3.0361	1.6147	0	0	3.7765	4.9046	1.3741	2.9267	0.93812	2.2019	1.499	0	1.1275	0	1.6958	0	0	0.13913	1.4073	0	0	3.2725	0	0	0	0.19548	0.37084	1.8667	0	0	2.4826	0.19172	0	0	0	0	0	0	0	3.8677	0	1.1227	1.9864	0	2.7034	4.777	5.6547	0	1.3389	1.2531	0	0	1.5121	0	0	3.6986	1.8101	0.073799	0.5829	0	0.79824	0	0	1.8022	3.3376	0	0	2.5274	2.6164	0	1.6054	0	0	3.3573	0	0	0	2.2642	0.42043	0	2.6841	0	0	0.8754	1.1419	0	0	0.62737	0	0	3.7286	0.037353	0	0	0	0	3.6272	0	0	0	0	0	0.097804	0	0	0.24922	3.5621	0	4.2538	0	0	1.1099	3.2466	4.0183	0	0	3.4863	0.5701	2.078	0	3.8138	3.6854	0	0	0	0	0	1.3946	1.76	5.8778	1.0835	3.1275	1.3064	0	0.55854	0	0	0	0.43956	1.9089	1.7922	0	1.1387	1.5075	0	2.3799	1.0209	0.52377	1.1295	0.34847	0	0	0	0	0	0	0	0	2.2402	0.30761	0.93561	0.15783	0.68471	0.29983	0	3.5297	0.36655	3.4245	0.48092	0	0	0	0	0.79662	0.74711	0.36637	3.0087	0	0	5.3396	0	0.34632	0	2.4903	0	0	0	0.23685
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0	1.5653	0	0	0	1.0885	0	0	0	0.4848	4.9574	0	1.68	0	0	1.1403	0	0.17598	0	1.4535	1.0947	0	1.4471	0	1.4089	0	2.0232	1.9224	0.78209	0	0	0	2.9096	3.918	0	0	2.0178	0	2.463	1.0531	0	0.73356	0	0	0.11529	2.0593	1.6277	0.69162	4.8723	0	0.74856	0	0.42708	2.3312	0	0	0.041432	0.3248	0	0	1.8517	0	0.74879	0.71036	3.5426	3.5113	0	1.1839	0	0.0020429	1.033	0	0	0	0	2.7562	0.12753	0	2.0944	0	0	6.3307	3.1328	0.61397	0	2.5164	4.4586	0	0	0.69637	0	3.8581	0	0.75411	0	2.1667	0	1.4512	0.94949	0	0	2.4991	0	0	0.75535	0.097392	1.0614	0	0	0.55702	0	0	3.1615	0.40002	0	0	0.040177	0.76977	0	0	0	0	0	0	0	0	0.29386	0	0.17931	0	0.091549	4.64	0	0.075295	0.45027	1.6128	0	4.2409	2.364	0.69225	0	3.1215	0.12302	0	0	0	0	2.203	0.73372	0	2.3283	0.82257	0.84048	0.60752	0	0	0	2.1756	2.9358	0	0.47373	2.1774	2.3369	4.1504	0.67468	0	0	0.23625	4.3868	0	1.5196	0	0	0.059191	1.8822	0	1.7739	0	1.9164	1.1411	1.1579	0	0	1.4029	1.3733	1.854	0.6092	0	0.53776	2.4595	0	1.0158	3.2842	0	4.7127	0	0	0.27697	0	2.2587	0	1.2302	2.757	0.25901	3.7669	0	0.5509	0.096242	0	0	2.5707	0	0	0	0.14537	0	0.026218	2.7685	0.13132	0	3.5734	0	0	0	0	0	0	0	0	0.47701	0	2.2267	2.404	0	0	0	0	0.28089	2.4411	2.6517	1.6796	1.177	0	0	1.2632	1.5238	0	0	0	0	0.31827	3.4865	0.55139	0.73767	0.39092	0	0	1.779	0.55865	0	0.53116	0	0	0	0	0.57784	0.76913	0	0	0	0	0	0	0.93224	0	4.8571	0.14281	0	0	0	1.4638	0	0	0	0.68607	2.3274	0	0	0	1.0512	0	1.499	4.5503	1.1935	0.31169	0	2.326	0	0	0.021173
GSM1267104_HZI1970_Pae_G1a.CEL	0	2.3599	0	0	2.5824	0	0.11284	0	1.1926	0	0	0	0	0	0.5863	0	1.6431	0.191	0	0.088611	0	0.098262	0	0.41637	0.53292	4.2989	0.49706	1.9668	2.1321	0	4.4668	0	0	0	1.6993	0	0.026856	5.551	0	0.33449	0	0.31917	0	0	0	2.9722	0	0	2.173	4.4634	0	0	4.4348	0.53269	0	0	1.9179	0.056111	0	0	1.3813	0.63281	0	0.45079	1.6332	1.5809	5.2731	1.1783	0	1.276	0.043746	2.3348	0	0	3.3862	0.3085	5.1592	0.35371	0	0	1.5936	0.27842	0	0.31971	0	0.76205	0.23834	0	0	2.5573	0	0	0	1.8796	0	1.9326	0	1.6637	0	0	2.7076	0.01645	2.1021	2.2372	0.07643	0.38998	0	0.010583	0	0	0	0.26418	2.3361	0	0.99593	0	0	0.084411	3.086	0	0	0.45198	1.8919	0.80167	0.12234	0.93321	1.1328	0	0.56984	0	2.1471	0.06113	0	0	0	3.0114	0	0	0	0	1.4752	0.79895	0	4.8935	0	0	3.3689	1.0684	1.2295	0	4.3012	0	0	0	0	3.2347	0	2.4086	0	3.1901	3.1222	2.4743	0	0.47807	0	0.58749	0.42292	1.3275	0.31164	0	0	2.1424	0	0	1.5332	0	2.4509	0	1.9357	0	0.75392	1.098	0.57563	5.5804	0	1.8948	1.6471	0	0	0.21921	0	1.3756	0.86265	0.090572	0	0	0	0.32501	0	3.2018	0	0	0	0.55625	0	0	0.46462	0.92695	0	0	1.4877	0	0	0	0	2.1849	0	3.2475	0	1.3019	0	1.3473	1.545	0.080398	0	0	0	1.2318	0	0	0.34302	0.11981	0.40948	0	0	0	0.87123	2.0461	0	0	1.6663	0.38184	0.018877	0	2.8905	1.2148	3.1101	0.1281	0	1.5793	0.0219	0	0.047632	0.075082	2.6053	0	3.9882	0	2.5583	0	4.2569	1.9277	1.1539	1.6826	0	0	4.7179	4.8956	0	0	0.31224	3.3882	3.2706	0	1.9569	0	0	0	0.0274	0	2.1184	0	0	0.72442	0	3.1776	0	0	0	0	0.24245	0	0.029945	2.0351	0	0.32059	0	0	0.56062	0
