loss	val_loss	learning_rate	batch_size	epochs	kappa
3751.323586535098	3617.7206128545167	0.001	100	200	0.01
3591.569522686859	3610.53308413209	0.001	100	200	0.01
3525.2450561523438	3621.7298737854517	0.001	100	200	0.01
3501.5231013511543	3666.550906397715	0.001	100	200	0.01
3487.7472734593634	3581.5506725151	0.001	100	200	0.01
3483.795612392141	3561.8427221474526	0.001	100	200	0.01
3476.2764837919776	3500.824354155725	0.001	100	200	0.01
3473.036959975513	3499.510627297794	0.001	100	200	0.01
3468.691915483617	3488.2700092732407	0.001	100	200	0.01
3466.449400033524	3490.5732339810925	0.001	100	200	0.01
3462.3745636441813	3486.9451565782565	0.001	100	200	0.01
3460.6957452119286	3490.4543908383666	0.001	100	200	0.01
3456.452793406017	3478.5360528000265	0.001	100	200	0.01
3455.7302710689714	3474.789827747505	0.001	100	200	0.01
3453.3865110482743	3463.506710789785	0.001	100	200	0.01
3452.572456929221	3466.894601004464	0.001	100	200	0.01
3450.1053785637246	3466.0006052225576	0.001	100	200	0.01
3447.3297346883746	3466.425028312106	0.001	100	200	0.01
3446.275341432486	3464.440987723214	0.001	100	200	0.01
3442.6759169848997	3465.050574038209	0.001	100	200	0.01
3440.6804991764807	3458.3798951221115	0.001	100	200	0.01
3440.0064414864155	3457.8043223148634	0.001	100	200	0.01
3438.3790237654503	3454.606254513524	0.001	100	200	0.01
3436.5152451244753	3455.6128606716125	0.001	100	200	0.01
3437.535859520756	3459.160230107668	0.001	100	200	0.01
3433.0434971140394	3446.962907037815	0.001	100	200	0.01
3430.6838460893773	3449.8163016183034	0.001	100	200	0.01
3430.316985628498	3444.7364081374735	0.001	100	200	0.01
3427.3881881486122	3446.844775800945	0.001	100	200	0.01
3426.9490493091184	3444.28632771468	0.001	100	200	0.01
3423.837695676889	3438.4944709329043	0.001	100	200	0.01
3426.2071059497434	3438.153379808955	0.001	100	200	0.01
3423.6481332351914	3435.9432691045167	0.001	100	200	0.01
3420.2091082672573	3433.8315840007876	0.001	100	200	0.01
3420.151917414879	3435.2516228170957	0.001	100	200	0.01
3418.198900820604	3433.2267820214024	0.001	100	200	0.01
3417.8115015741605	3430.672268907563	0.001	100	200	0.01
3416.3527649836756	3429.2879443769693	0.001	100	200	0.01
3415.203369140625	3433.792724609375	0.001	100	200	0.01
3413.8848667429456	3427.173867105436	0.001	100	200	0.01
3412.929049819263	3430.651127150079	0.001	100	200	0.01
3411.5470535506065	3428.517972032563	0.001	100	200	0.01
3411.71583488806	3431.493262539391	0.001	100	200	0.01
3409.850462956215	3424.5764016544117	0.001	100	200	0.01
3410.5284032109957	3428.132252412684	0.001	100	200	0.01
3409.966161016208	3425.200552291229	0.001	100	200	0.01
3407.4320113907997	3422.721265263918	0.001	100	200	0.01
3405.5567435648904	3422.5302836955093	0.001	100	200	0.01
3407.051796073344	3423.7963087578783	0.001	100	200	0.01
3406.243339880189	3427.2709324940915	0.001	100	200	0.01
3404.9233088706856	3422.922703847164	0.001	100	200	0.01
3403.293083532533	3424.881212250525	0.001	100	200	0.01
3401.653161803288	3420.2469061843485	0.001	100	200	0.01
3403.3600682500582	3413.6256257385767	0.001	100	200	0.01
3401.825167072353	3416.4644457392333	0.001	100	200	0.01
3401.5332495845964	3419.45658605239	0.001	100	200	0.01
3399.8185634328356	3418.4588428144693	0.001	100	200	0.01
3399.6747217890043	3422.766726710215	0.001	100	200	0.01
3399.76244934993	3416.150093142726	0.001	100	200	0.01
3395.86903039733	3415.8695776162026	0.001	100	200	0.01
3397.445471009212	3416.874224494485	0.001	100	200	0.01
3397.5398468473063	3418.464899143251	0.001	100	200	0.01
3395.0771593691697	3416.5948701746324	0.001	100	200	0.01
3396.402544163946	3414.6155810957193	0.001	100	200	0.01
3394.9441045504896	3415.6804301798843	0.001	100	200	0.01
3394.9545379183187	3413.1319221047793	0.001	100	200	0.01
3393.988474376166	3413.4758444393383	0.001	100	200	0.01
3390.6812115569614	3413.6315446100316	0.001	100	200	0.01
3391.4563106707674	3410.6165412454043	0.001	100	200	0.01
3392.2454260071713	3416.8874819459033	0.001	100	200	0.01
3390.2692807325675	3409.9404317391018	0.001	100	200	0.01
3390.5746414412315	3409.830792082458	0.001	100	200	0.01
3389.897466403335	3408.0814260274424	0.001	100	200	0.01
3389.5642554439714	3409.4059053308824	0.001	100	200	0.01
3388.3563123105178	3407.867899405856	0.001	100	200	0.01
3388.8789618193214	3406.387483997505	0.001	100	200	0.01
3386.2549939511428	3408.7886193539916	0.001	100	200	0.01
3387.013758417386	3405.1217646238183	0.001	100	200	0.01
3383.8667101504197	3405.302319951418	0.001	100	200	0.01
3385.6730419557484	3402.0040129332983	0.001	100	200	0.01
3384.997056647913	3403.51216394761	0.001	100	200	0.01
3385.5367568286497	3402.439395680147	0.001	100	200	0.01
3383.3353936494286	3401.49008255646	0.001	100	200	0.01
3382.8191910928754	3398.2204241071427	0.001	100	200	0.01
3383.0720151075675	3403.1983283547793	0.001	100	200	0.01
3383.47608879431	3399.966304490546	0.001	100	200	0.01
3381.0615352801424	3402.7610129989494	0.001	100	200	0.01
3380.9449271586404	3400.727163619354	0.001	100	200	0.01
3379.87975436538	3396.5948701746324	0.001	100	200	0.01
3379.071391091418	3397.5170918953518	0.001	100	200	0.01
3378.6111304439714	3401.7693342962184	0.001	100	200	0.01
3380.377097058652	3398.4326828387607	0.001	100	200	0.01
3378.278521637418	3396.5930319393383	0.001	100	200	0.01
3377.872463852612	3397.4347488018643	0.001	100	200	0.01
3375.9993277023086	3398.813086758141	0.001	100	200	0.01
3375.400419776119	3400.7924127658875	0.001	100	200	0.01
3376.800475163246	3400.4071157759977	0.001	100	200	0.01
3374.6701733034047	3401.0278422892593	0.001	100	200	0.01
3374.462858740963	3398.430270154937	0.001	100	200	0.01
3373.6110010858793	3402.277103712579	0.001	100	200	0.01
3375.036933557311	3394.880516757484	0.001	100	200	0.01
3374.004307077892	3392.4110815224526	0.001	100	200	0.01
3371.9378607451026	3393.2756224560135	0.001	100	200	0.01
3373.619471308011	3391.4225068933824	0.001	100	200	0.01
3372.6991513380362	3393.1802537421217	0.001	100	200	0.01
3372.0728623119753	3390.4373235622375	0.001	100	200	0.01
3370.8401908305154	3393.572314863445	0.001	100	200	0.01
3370.4097335587685	3389.4599876083244	0.001	100	200	0.01
3368.6591031658118	3392.713565602022	0.001	100	200	0.01
3369.548626800082	3392.513989873293	0.001	100	200	0.01
3369.960981226679	3390.2922383797268	0.001	100	200	0.01
3369.797406096957	3391.418830422794	0.001	100	200	0.01
3366.549617027169	3393.121822068671	0.001	100	200	0.01
3368.63829746531	3389.68580742844	0.001	100	200	0.01
3366.7687733208954	3390.880485983456	0.001	100	200	0.01
3368.0788464902053	3383.9101685596115	0.001	100	200	0.01
3366.939256354944	3388.337307970063	0.001	100	200	0.01
3366.445757965543	3387.5199559315915	0.001	100	200	0.01
3366.18297702163	3388.6665839187235	0.001	100	200	0.01
3365.3075124256648	3388.1184205127365	0.001	100	200	0.01
3365.4099357946593	3388.2436543953518	0.001	100	200	0.01
3366.1956468269004	3385.042747176996	0.001	100	200	0.01
3363.471486561334	3385.1054215631566	0.001	100	200	0.01
3364.6027157911612	3387.6236890263917	0.001	100	200	0.01
3363.525018037255	3388.8890924533875	0.001	100	200	0.01
3363.520833029676	3388.853665391938	0.001	100	200	0.01
3361.518357917444	3387.5559923188025	0.001	100	200	0.01
3362.1476303783816	3384.745459805016	0.001	100	200	0.01
3361.8128953620567	3384.3839531906515	0.001	100	200	0.01
3362.3517182762944	3387.0081366530985	0.001	100	200	0.01
3361.438573125583	3385.719217765231	0.001	100	200	0.01
3362.045457526819	3384.6633382845325	0.001	100	200	0.01
3360.711106029909	3383.772988199186	0.001	100	200	0.01
3360.109666511194	3384.0755830652574	0.001	100	200	0.01
3359.0738570939247	3386.547137605042	0.001	100	200	0.01
3359.8856866181786	3381.9532419413076	0.001	100	200	0.01
3359.519555846257	3382.307518710609	0.001	100	200	0.01
3359.802416445604	3383.9046251313025	0.001	100	200	0.01
3359.0198673988457	3380.59957654937	0.001	100	200	0.01
3359.6291986721667	3381.5466554785976	0.001	100	200	0.01
3358.275095469916	3382.37121274291	0.001	100	200	0.01
3359.3196629766207	3382.1546189764967	0.001	100	200	0.01
3358.6941573868935	3381.909384847689	0.001	100	200	0.01
3356.554857851854	3378.120589055935	0.001	100	200	0.01
3356.51855833139	3381.900899422269	0.001	100	200	0.01
3357.4939356561918	3381.3428390887607	0.001	100	200	0.01
3356.718611532183	3380.8090533088234	0.001	100	200	0.01
3356.374142774895	3380.0088403525474	0.001	100	200	0.01
3355.8041600469332	3381.828484030331	0.001	100	200	0.01
3355.591265778043	3378.3687549238443	0.001	100	200	0.01
3355.998122485716	3380.4847996815915	0.001	100	200	0.01
3356.6481141047693	3381.31190298385	0.001	100	200	0.01
3355.2880012170594	3375.120418772978	0.001	100	200	0.01
3353.9870241079757	3377.42353474593	0.001	100	200	0.01
3354.3593986852843	3376.625808331145	0.001	100	200	0.01
3354.234445144881	3379.27990414916	0.001	100	200	0.01
3354.8315438797226	3379.509743057379	0.001	100	200	0.01
3353.0762620612754	3378.9080759256826	0.001	100	200	0.01
3351.861872886544	3378.2490644695376	0.001	100	200	0.01
3353.073592000933	3374.70950548188	0.001	100	200	0.01
3355.2352194714904	3374.912808971245	0.001	100	200	0.01
3352.7797596490204	3376.4263105632876	0.001	100	200	0.01
3351.680217685984	3373.356256565126	0.001	100	200	0.01
3350.2352276702427	3377.497433446035	0.001	100	200	0.01
3351.8756823183885	3374.98140222886	0.001	100	200	0.01
3350.749402402052	3378.3536982175683	0.001	100	200	0.01
3350.64049655288	3376.404614873293	0.001	100	200	0.01
3351.256035192689	3372.5096999737393	0.001	100	200	0.01
3350.02942167823	3373.8091681985293	0.001	100	200	0.01
3350.9442949437384	3377.5852522649684	0.001	100	200	0.01
3349.872377310226	3379.970815963104	0.001	100	200	0.01
3350.2727642913364	3373.0921989889707	0.001	100	200	0.01
3350.954881354944	3376.878848805147	0.001	100	200	0.01
3350.2329648145987	3371.289415375525	0.001	100	200	0.01
3349.271450669018	3373.3299734933034	0.001	100	200	0.01
3349.1751034864737	3374.2519018349526	0.001	100	200	0.01
3350.199973946187	3371.9872226234243	0.001	100	200	0.01
3349.734478850863	3372.294862378545	0.001	100	200	0.01
3348.2489259634444	3370.376187877495	0.001	100	200	0.01
3348.969281096957	3371.5209694229256	0.001	100	200	0.01
3346.811638220033	3370.229959952731	0.001	100	200	0.01
3347.2141222597947	3370.242807083771	0.001	100	200	0.01
3347.6235151148553	3371.0995806525734	0.001	100	200	0.01
3347.745686545301	3374.9622218027835	0.001	100	200	0.01
3347.2120643729595	3369.0545233718485	0.001	100	200	0.01
3346.1623088779734	3372.9220945214024	0.001	100	200	0.01
3346.6386600323576	3371.3702997800683	0.001	100	200	0.01
3346.6223909748132	3370.414909811581	0.001	100	200	0.01
3345.938580413363	3371.8872172892593	0.001	100	200	0.01
3345.8829017753033	3369.7711992023374	0.001	100	200	0.01
3346.657031614389	3370.5847988609507	0.001	100	200	0.01
3346.50831535681	3370.418820164785	0.001	100	200	0.01
3347.447998046875	3371.5158055409665	0.001	100	200	0.01
3345.700646243878	3371.5939079733457	0.001	100	200	0.01
3344.436408654967	3371.3018911666227	0.001	100	200	0.01
3343.675707461229	3368.8331514246324	0.001	100	200	0.01
3344.5426444437967	3370.8011115579043	0.001	100	200	0.01
3344.422955413363	3370.219876329438	0.001	100	200	0.01
3343.8574856430737	3369.336144711791	0.001	100	200	0.01
3343.6369902197994	3371.2466887145483	0.001	100	200	0.01
